id,Time,Is_CH,who CH,adv_who,hop_count,dist_CH,send_code,RSSI,Latency,Jitter,Throughput,Packets_Sent,Packets_Received,Packet_Loss_%,Dropped,Tampered,Expaned Energy,Attack type,label
101000,100,0,104191,101020,6,35.12138296509377,4,-64.4368284739835,38.74813898268838,5.171189407889051,215.55275641054854,143,142,0.4130633368469856,4,0,0.07857759418339329,Normal,0
101001,100,1,101001,104692,1,47.21627032392106,1,-66.68683101226726,67.79571451122534,6.933639668957718,152.69485139739268,331,327,1.0695510849208292,1,0,0.05888835375758496,SMS,1
101002,200,0,102844,101071,3,57.601080308146905,1,-71.92162613429386,47.00294406472146,8.062653604628466,160.70802626936936,256,217,15.145674610737967,12,0,0.069962968210674,Grayhole,1
101003,100,0,104745,105014,1,53.37087292733681,2,-67.23608071889035,34.14222643320022,3.720422218020934,188.33013194895597,307,303,1.1779081676384981,0,0,0.07495301923425508,Normal,0
101004,200,0,101287,101875,1,63.52039365974326,3,-69.54342635694326,70.9940752050251,3.7390830916290447,198.35007484083187,332,325,2.079560577301646,1,0,0.07239088191667298,Normal,0
101005,50,0,104413,101022,1,66.37082407992742,3,-66.77655098357883,45.95204620579707,3.978783001404841,245.3121878869923,212,208,1.7986986466108115,3,0,0.06690460448752102,Normal,0
101006,200,0,103871,104454,7,40.7107351753927,2,-68.80914346930186,44.95871326348336,5.441261608614327,197.0856924463578,62,60,1.944639397751998,0,0,0.0631845622020275,Normal,0
101007,200,0,104742,105231,7,46.47912252546119,1,-70.73922467416187,52.02250395529233,3.1006308533514897,191.4980034631763,246,196,20.044843629858246,0,1,0.07710223195338207,Malicious,1
101008,50,1,101008,105915,5,66.44096777852461,0,-64.23980650843136,88.39541066630156,6.78304243681166,50.2500787177194,189,118,37.24574335806373,9,0,0.3739571380230918,DoS,1
101009,100,1,101009,103094,4,47.508607537604384,3,-70.6070120003403,55.4408628218318,0.7251384749270979,62.77037484103963,369,293,20.572522380571186,11,0,0.055567114404444076,Grayhole,1
101010,50,0,101111,103803,1,47.97661093129913,4,-65.23411872835322,48.16754756790718,3.7415586543052752,142.32358575552763,121,119,1.4729647926351892,1,0,0.0957815040279982,Normal,0
101011,200,0,102154,105087,5,42.93293231626994,4,-71.44078015255559,41.37960256370387,3.0169459177907356,166.74056566825416,222,219,1.0395239010751396,3,0,0.08366025856622965,SMS,1
101012,150,0,101427,103972,7,53.33293716612778,1,-77.04275303666616,80.6573415665999,31.45962735962272,281.14854121729155,349,346,0.8407633831558214,2,0,0.11584804130661454,Scheduling,1
101013,150,1,101013,102385,2,35.035712925442084,3,-69.85308823668,62.37250072972916,5.50469838736164,164.20565002041224,365,363,0.45238048554403987,2,0,0.07191124295049088,Normal,0
101014,50,1,101014,101104,2,38.385513900139685,4,-69.28669692421974,57.30508285064765,5.781752066294106,172.26360727590688,299,297,0.5654555127471492,0,0,0.04142675161488657,Normal,0
101015,50,0,104584,102263,2,51.957620038841895,3,-67.35178549749062,61.2181964027302,8.633391851012075,179.98431441662427,107,105,1.6624157660111334,0,0,0.07946421651113522,Normal,0
101016,50,0,103037,101564,3,56.638413612554665,1,-68.80114913208679,48.04575797030629,5.145486657394465,193.10015862410174,296,294,0.5314244210828387,0,0,0.06383953490707138,Normal,0
101017,100,1,101017,102520,5,38.41516438146765,0,-74.73245397994214,46.66513719030305,5.562423365168131,235.4102528346384,97,95,1.4395070772785037,1,0,0.07635678832284151,Normal,0
101018,150,1,101018,102381,2,51.002897225070384,0,-66.35913625226391,47.8604457081245,5.4601208087668,127.50565174291522,493,481,2.315307504925936,0,0,0.06041361589430898,Normal,0
101019,200,0,101110,101792,2,36.538592774197944,3,-77.90677613065029,45.05798450837295,6.364442161825659,140.72045835496817,63,62,0.9744075771797861,1,0,0.0877684578862573,Normal,0
101020,150,0,103841,105870,6,31.884081796650108,3,-67.22455150279207,114.55706211253774,3.9820469432185934,74.04018144601956,463,355,23.239344380943127,15,0,0.314552151294648,DoS,1
101021,100,1,101021,101525,2,22.049129340580805,2,-78.31920186638477,61.61207671758028,7.558079832918508,182.53735794281337,206,202,1.6316422511843522,2,0,0.04752389377055195,Normal,0
101022,250,0,104220,104297,2,57.45986496691789,3,-71.37013115372389,43.51127546510948,6.2967299127912595,168.28094613157302,356,349,1.9562773447159705,0,0,0.08498868608428109,Normal,0
101023,200,0,103977,105446,2,32.13113964852079,2,-63.81583766936367,72.06468979884673,3.3970321563379864,203.185983304557,72,72,0.0,0,0,0.06919247322025891,Normal,0
101024,250,0,101931,105002,7,44.51639124753262,2,-66.94842849469184,50.812203772516035,4.60133676649508,209.50945022719446,87,86,0.8947289302133801,0,0,0.08170486153622154,Normal,0
101025,150,0,101938,105006,5,45.83715864220219,3,-74.68537140073984,159.5183792201459,3.4415043511794505,81.41938447163324,449,445,0.6707769807391416,15,0,0.604764700422764,Flooding,1
101026,100,0,102547,105204,7,51.81741896727072,2,-74.49529261852899,56.34661943843938,6.12951838664886,161.7492233041591,394,390,0.7839272367070507,0,0,0.0627352993403902,Normal,0
101027,50,0,104238,102134,1,51.440685813444155,2,-72.22021837731869,37.947007852198055,5.5890319791360925,160.38948118952726,401,398,0.6578999502191312,1,0,0.05602947852317573,Normal,0
101028,200,0,101794,105856,3,51.14941771759132,3,-71.61583832851242,64.27328651594769,3.9627240050308483,244.86756569551676,484,478,1.1145474158231896,0,0,0.08537624712824309,Normal,0
101029,50,0,104727,104325,3,67.18363995763876,4,-73.73318783010204,44.76332399940497,7.691059707103798,139.1832138056717,384,379,1.0952169540053944,0,0,0.08287497201798581,Normal,0
101030,100,0,105272,105942,7,66.76597931651666,4,-73.19416934879726,159.51783476312218,5.108931089660377,142.83410108451287,274,169,38.20553782344164,11,0,0.39425956120441635,DoS,1
101031,150,0,102122,101011,3,42.57092667218772,2,-68.46389477852155,73.83457036646865,8.687851485030572,195.34380402155597,79,77,1.833376564271835,2,0,0.08612262378009991,Normal,0
101032,150,1,101032,101916,7,51.28451067246293,2,-69.34509435401482,44.08695361121055,3.0711074592050682,126.43318443313572,442,439,0.6082074712581088,2,0,0.06287086695508477,Normal,0
101033,150,1,101033,104495,3,49.48882736523361,3,-76.6197554210978,41.747080391691355,26.5823532820819,180.2832690020299,400,367,8.097645831851871,2,0,0.11615261611341371,DataError,1
101034,50,1,101034,101045,4,48.39925513391695,3,-71.0759816178009,55.737031972519056,5.300271307912406,142.852436270527,97,96,0.9375392023382173,2,0,0.10286796214299106,SMS,1
101035,100,0,105675,103404,3,57.124817644338044,2,-71.2873751556011,79.18222739163323,19.331817137370926,176.73814350851399,235,231,1.4190741643865494,0,0,0.055189283415925265,Scheduling,1
101036,150,0,105657,105138,5,56.120825008037826,1,-73.94010809387828,45.814642666605124,2.220270518196941,217.4845203168293,400,392,1.9164752629768773,0,0,0.08422280426153919,Normal,0
101037,250,0,102843,105823,4,48.81658376126178,0,-64.55330345341655,53.737748749022394,5.8249689255830255,222.34875348749512,85,84,1.0539927583430153,0,0,0.06821105362720616,Normal,0
101038,200,0,102919,104320,1,47.714151916731645,3,-70.33998930207463,49.988768396941936,7.1694884855079195,56.681690581688635,231,103,55.18982971218022,16,0,0.0737175730549026,Blackhole,1
101039,250,0,105648,101658,1,40.04921690678724,3,-78.0699556354805,58.11330318921418,6.937363783262443,233.00734898213472,227,224,1.2473750562676003,1,0,0.07878136729705432,Normal,0
101040,200,0,102369,103064,5,49.58523341711415,1,-70.0403444394319,51.86507812240069,2.5798356385242243,143.49452734758404,255,253,0.46380587262885964,1,0,0.09944455515941263,Normal,0
101041,150,0,103822,101850,7,53.791752625178944,3,-75.0860592895008,71.1924038722895,3.7663347980456647,147.00335922310146,133,131,1.4085183431295956,0,0,0.06721187928250957,Normal,0
